cell_id,crime_count_total,crime_burglary,crime_robbery,crime_assault,streetlight_count,bus_count,pred_poisson,pred_nb,pred_rf,pred_llm,pred_gwr,gi_star,kde_intensity,id,gi_z
473,1368,150,65,61,138,0,2016.027040747941,2110.9961346224522,1524.992,2621.61027472124,2621.61027472124,0.017784847139001154,1.5442337527413718e-09,473,
474,1830,135,58,126,83,0,1537.340764654185,1532.1242783113837,1849.72,2845.7535461177717,2845.7535461177717,0.06106334727518107,1.5442339935645915e-09,474,
475,1605,147,52,104,38,2,1580.96668370608,1495.2029654783912,1766.4,3079.2239341102763,3079.2239341102763,0.08298084684958693,1.5442220587674458e-09,475,
476,4023,287,96,383,161,0,2189.210921935111,2327.047153548994,4096.932,3051.61550126211,3051.61550126211,0.4434637841856619,1.5449800089392052e-09,476,
477,4714,362,150,391,238,4,5148.901111891605,5880.199946954996,4835.032,4300.834036394841,4300.834036394841,0.8914026817375779,1.5498609100738395e-09,477,
478,3280,282,52,336,168,0,2239.625900078199,2390.540472873556,3367.936,2529.9730128816323,2529.9730128816323,0.03555000792684957,1.5187379037734336e-09,478,
479,0,0,0,0,0,0,141.6115858519445,91.36275810818272,0.8355824284586731,513.3942078124217,513.3942078124217,-0.655236497214136,1.2476607639751433e-09,479,
480,564,34,8,46,123,0,1895.853233237666,1963.0375636239867,614.036,947.1963596522819,947.1963596522819,-0.5929086077994199,1.181183064048987e-09,480,
481,626,36,7,38,23,0,783.3319971013069,690.3567264096584,607.976,396.85278447659016,396.85278447659016,-0.45369823940885873,1.422225114001431e-09,481,
482,1083,88,91,85,108,5,3630.604054403876,3853.407548598343,1346.08,1473.6050045346958,1473.6050045346958,-0.3675265076837051,1.440876526917154e-09,482,
483,942,84,24,78,95,0,1651.893863212461,1668.0054349604054,1038.148,856.9772759554455,856.9772759554455,-0.3124759130495533,1.4372843919947557e-09,483,
484,1773,177,105,125,120,4,3569.539255399956,3813.09455306232,2037.684,1333.784297723007,1333.784297723007,-0.3163714061379731,1.4398051459877333e-09,484,
485,1060,106,43,79,105,0,1742.3841872660346,1776.5718069189184,1137.96,1170.3970403447765,1170.3970403447765,-0.4049831719954336,1.4564608998376052e-09,485,
486,1153,129,53,72,57,0,1259.4993594088155,1210.418258935066,1262.44,800.1208090583449,800.1208090583449,-0.4523712033018147,1.4970254382067156e-09,486,
487,772,86,22,40,20,2,1132.991844034166,1008.3680678729276,833.164,1526.8369574405824,1526.8369574405824,-0.10092067301691089,1.5330539601830363e-09,487,
488,5032,504,179,359,252,2,4324.95350083007,4914.23602242465,4845.716,4320.389373893018,4320.389373893018,0.8676872622762092,1.5436051164966454e-09,488,
489,4568,379,131,327,153,0,2130.345289198347,2253.2480520077193,4469.9,2664.8094211190605,2664.8094211190605,0.9861359367339835,1.5442854338848107e-09,489,
490,2870,192,115,207,265,0,2858.9110002983357,3190.4711050444985,2849.94,3030.541443456559,3030.541443456559,0.861223312206414,1.5442376752713716e-09,490,
491,260,29,8,20,19,0,710.1163668610166,614.7325037929885,324.036,1773.8963549623682,1773.8963549623682,0.46461074666565433,1.5442334954964204e-09,491,
492,1330,90,74,83,105,0,1742.3841872660346,1776.5718069189184,1403.436,2004.4262800472475,2004.4262800472475,0.6366117491851118,1.5442334185468015e-09,492,
493,1769,181,88,131,211,0,2530.2419836016406,2761.497892955413,1961.804,2007.4299818776324,2007.4299818776324,0.29992984654311794,1.544233418094534e-09,493,
494,3147,277,128,221,177,0,2303.0490413218054,2470.786831935083,3147.172,2273.7529033173687,2273.7529033173687,1.0759463158494194,1.5442334182234877e-09,494,
495,17071,1285,675,1381,59,2,1993.4947977294764,1966.770453317375,22794.024,3231.133642005039,3231.133642005039,1.5136970007085453,1.544233432540956e-09,495,
496,2180,183,95,148,123,0,1895.853233237666,1963.0375636239867,2240.372,2823.861935252429,2823.861935252429,0.800564919829592,1.5442340191615882e-09,496,
497,2979,209,160,264,184,4,4485.9168932569755,4995.888764254952,3278.42,3667.5914181640337,3667.5914181640337,0.27501581382377394,1.5442394486970554e-09,497,
498,2133,156,122,168,110,7,4115.031023234809,4401.708136235927,2372.012,3986.335610173163,3986.335610173163,0.22184875430929796,1.544147894429452e-09,498,
499,1463,120,70,66,447,0,3784.8617317198914,4445.527366094517,1435.648,3980.288025314636,3980.288025314636,0.6244543861399338,1.54293761665014e-09,499,
500,4269,262,130,368,147,0,2085.26371360139,2196.9802330303555,4297.196,2879.4311519176554,2879.4311519176554,0.9951683437851552,1.539892231911213e-09,500,
501,4637,340,162,416,84,6,3378.446048160836,3510.5882529570267,4900.72,3210.0268212290216,3210.0268212290216,0.4653384761437109,1.520260124188812e-09,501,
502,14,1,0,1,1,0,205.6444167168567,142.01399742344125,20.912304761904757,807.9562574212215,807.9562574212215,-0.44719148172270706,1.3458313132179267e-09,502,
503,0,0,0,0,0,0,141.6115858519445,91.36275810818272,0.8355824284586731,743.1427122054224,743.1427122054224,-0.6454335530685522,9.221126595350239e-10,503,
504,822,24,65,63,4,2,523.3426904865072,404.586387594885,928.444,553.9137085145146,553.9137085145146,-0.5881141547675186,1.1349276368703117e-09,504,
505,722,39,22,70,80,4,2876.083675993465,2953.661146163706,785.752,1184.972729000859,1184.972729000859,-0.4929528236075501,1.4435166811047939e-09,505,
506,1627,55,97,123,47,3,1984.2717826740825,1926.7964386636393,1807.244,926.0156002591829,926.0156002591829,-0.40040275704531364,1.5239499819499358e-09,506,
507,1683,121,80,150,101,4,3256.0026811296634,3420.3413493470334,1934.408,1274.9876889263542,1274.9876889263542,-0.3162429832889044,1.5170942527529242e-09,507,
508,1599,117,66,110,113,3,3160.73471779039,3341.1137624103626,1627.772,1259.5673189172817,1259.5673189172817,-0.2683412605862481,1.5154702738680404e-09,508,
509,1579,123,68,124,171,2,3513.834289880947,3844.217509624991,1704.704,1822.1885383320914,1822.1885383320914,-0.3557972208020897,1.517642345126152e-09,509,
